generation,individual,cycle,s_before,f_ini,rho_SI_before,rho_MI_before,random,operator,best_neighbor,best_delta,num_neighbors,f_imp,eta,improved,epoch
0,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.37799404132888914,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.26923557825106126,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.4459004429144875,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.5055740585557267,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
0,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.2638866709525134,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.290872445829476,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.4824970417738299,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.34309386439196143,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.045497305855868864,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.21289433940345537,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.04206952345831805,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.47709163344336936,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.17322500718432365,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.1790004486961333,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.40858984154937605,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.4241472474044634,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.12159730852165651,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.42411590028854873,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.06104807517854138,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.3594094026660726,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.45593032417034773,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.4385328583422752,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.48946212343093976,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.27465500116742836,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.46191825006688925,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.3466617383607923,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.07740252624558597,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.11746467977354058,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.19608605773676346,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.041544934861225236,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.1240795148076197,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.9377928280540023,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
6,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.032691350080174875,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.06532893410547658,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.051762518177733474,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.549361114281272,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
7,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.4407099093455875,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.16308090827650146,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
