generation,individual,cycle,s_before,f_ini,rho_SI_before,rho_MI_before,random,operator,best_neighbor,best_delta,num_neighbors,f_imp,eta,improved,epoch
0,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.039780361848369084,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.24103860296163782,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.43182207134122763,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.04853413641955251,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.41903403455230037,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.13918179578774703,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.08691561764276523,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.15188560123269723,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.4247922544953635,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.1079911928534889,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.4260177602253441,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.4262711666896969,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.49231592890422593,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.24479927541899382,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.4156423241576631,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.852813544035696,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
3,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.3339025531878522,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.057611805801756844,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.23237430225331868,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.6570100520603394,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
